file	line	definition(kernel owner)	token	Q1 position	message/head	in closure(drive)	in closure(consumer fine roots)	in closure(consumer step roots)	Q3 class	Q3 invariant / witness / need	cite	Q1 note
lean_frontend/CerbFS.lean	260	CerbFS.fs_close	panic!	TAIL	(refusal s!"close of fd {fd}" "fds 0,1,2 are open in SibylFS's initial state; this model h	Y	Y	N	REACHABLE	witness tests/freebsd/cat.c: Lean PANIC at CerbFS.fs_close CerbFS:260:4, oracle exit 0 — class (c) refusal (close of fd 1)	q2_recorded_crash_rows.txt freebsd-cat	
lean_frontend/CerbFS.lean	282	CerbFS.fs_write	panic!	TAIL	(refusal s!"write on fd {fd} of {n} bytes from a {data.length}-byte buffer"	Y	Y	N	REACHABLE	family: class (c) filesystem refusals — each is the unconditional body of its fs_* entry point or a guard on the syscall arguments; reachable by any libc-mode program issuing that syscall shape (4 rows witnessed, this one by construction, unwitnessed); the ORACLE (SibylFS) typically succeeds: a one-sided declared boundary, not a both-crash	CerbFS.lean:23-90 header table; VALIDATION.md declared boundary	hand-written: body following a `let` line / match arm (read)
lean_frontend/CerbFS.lean	295	CerbFS.fs_write	panic!	TAIL	(refusal s!"write on fd {fd} whose file '{entry.path}' is gone" "the model's file table lo	Y	Y	N	REACHABLE	family: class (c) filesystem refusals — each is the unconditional body of its fs_* entry point or a guard on the syscall arguments; reachable by any libc-mode program issuing that syscall shape (4 rows witnessed, this one by construction, unwitnessed); the ORACLE (SibylFS) typically succeeds: a one-sided declared boundary, not a both-crash	CerbFS.lean:23-90 header table; VALIDATION.md declared boundary	hand-written: body following a `let` line / match arm (read)
lean_frontend/CerbFS.lean	309	CerbFS.fs_write	panic!	TAIL	(refusal s!"write on fd {fd} at offset {entry.offset} of the {contents.length}-byte file '	Y	Y	N	REACHABLE	family: class (c) filesystem refusals — each is the unconditional body of its fs_* entry point or a guard on the syscall arguments; reachable by any libc-mode program issuing that syscall shape (4 rows witnessed, this one by construction, unwitnessed); the ORACLE (SibylFS) typically succeeds: a one-sided declared boundary, not a both-crash	CerbFS.lean:23-90 header table; VALIDATION.md declared boundary	hand-written: body following a `let` line / match arm (read)
lean_frontend/CerbFS.lean	325	CerbFS.fs_read	panic!	TAIL	(refusal s!"read on fd {fd} whose file '{entry.path}' is gone" "the model's file table los	Y	Y	N	REACHABLE	family: class (c) filesystem refusals — each is the unconditional body of its fs_* entry point or a guard on the syscall arguments; reachable by any libc-mode program issuing that syscall shape (4 rows witnessed, this one by construction, unwitnessed); the ORACLE (SibylFS) typically succeeds: a one-sided declared boundary, not a both-crash	CerbFS.lean:23-90 header table; VALIDATION.md declared boundary	hand-written: body following a `let` line / match arm (read)
lean_frontend/CerbFS.lean	338	CerbFS.fs_read	panic!	TAIL	(refusal s!"read on fd {fd} at offset {entry.offset} of the {contents.length}-byte file '{	Y	Y	N	REACHABLE	witness tests/tcc/40_stdio.c (CI-sweep LEAN_CRASH row; q2 file): Lean exit 134 PANIC at CerbFS.fs_read CerbFS:338:8, ORACLE SUCCEEDS (exit 0) — class (c) filesystem refusal, declared boundary; input class filesystem boundary	q2_recorded_crash_rows.txt tcc-40_stdio	hand-written: body following a `let` line / match arm (read)
lean_frontend/CerbFS.lean	342	CerbFS.fs_mkdir	panic!	TAIL	(refusal s!"mkdir '{path}' (mode {mode})" "SibylFS creates a directory (EEXIST/ENOENT/EACC	Y	Y	N	REACHABLE	family: class (c) filesystem refusals — each is the unconditional body of its fs_* entry point or a guard on the syscall arguments; reachable by any libc-mode program issuing that syscall shape (4 rows witnessed, this one by construction, unwitnessed); the ORACLE (SibylFS) typically succeeds: a one-sided declared boundary, not a both-crash	CerbFS.lean:23-90 header table; VALIDATION.md declared boundary	
lean_frontend/CerbFS.lean	348	CerbFS.fs_pwrite	panic!	TAIL	(refusal s!"pwrite on fd {fd} of {n} bytes from a {data.length}-byte buffer"	Y	Y	N	REACHABLE	family: class (c) filesystem refusals — each is the unconditional body of its fs_* entry point or a guard on the syscall arguments; reachable by any libc-mode program issuing that syscall shape (4 rows witnessed, this one by construction, unwitnessed); the ORACLE (SibylFS) typically succeeds: a one-sided declared boundary, not a both-crash	CerbFS.lean:23-90 header table; VALIDATION.md declared boundary	hand-written: body following a `let` line / match arm (read)
lean_frontend/CerbFS.lean	356	CerbFS.fs_pwrite	panic!	TAIL	(refusal s!"pwrite on fd {fd} whose file '{entry.path}' is gone" "the model's file table l	Y	Y	N	REACHABLE	family: class (c) filesystem refusals — each is the unconditional body of its fs_* entry point or a guard on the syscall arguments; reachable by any libc-mode program issuing that syscall shape (4 rows witnessed, this one by construction, unwitnessed); the ORACLE (SibylFS) typically succeeds: a one-sided declared boundary, not a both-crash	CerbFS.lean:23-90 header table; VALIDATION.md declared boundary	hand-written: body following a `let` line / match arm (read)
lean_frontend/CerbFS.lean	369	CerbFS.fs_pwrite	panic!	TAIL	(refusal s!"pwrite on fd {fd} at requested offset {offset} of the {contents.length}-byte f	Y	Y	N	REACHABLE	family: class (c) filesystem refusals — each is the unconditional body of its fs_* entry point or a guard on the syscall arguments; reachable by any libc-mode program issuing that syscall shape (4 rows witnessed, this one by construction, unwitnessed); the ORACLE (SibylFS) typically succeeds: a one-sided declared boundary, not a both-crash	CerbFS.lean:23-90 header table; VALIDATION.md declared boundary	hand-written: body following a `let` line / match arm (read)
lean_frontend/CerbFS.lean	379	CerbFS.fs_pread	panic!	TAIL	(refusal s!"pread on fd {fd} whose file '{entry.path}' is gone" "the model's file table lo	Y	Y	N	REACHABLE	family: class (c) filesystem refusals — each is the unconditional body of its fs_* entry point or a guard on the syscall arguments; reachable by any libc-mode program issuing that syscall shape (4 rows witnessed, this one by construction, unwitnessed); the ORACLE (SibylFS) typically succeeds: a one-sided declared boundary, not a both-crash	CerbFS.lean:23-90 header table; VALIDATION.md declared boundary	hand-written: body following a `let` line / match arm (read)
lean_frontend/CerbFS.lean	392	CerbFS.fs_pread	panic!	TAIL	(refusal s!"pread on fd {fd} at requested offset {off} of the {contents.length}-byte file 	Y	Y	N	REACHABLE	family: class (c) filesystem refusals — each is the unconditional body of its fs_* entry point or a guard on the syscall arguments; reachable by any libc-mode program issuing that syscall shape (4 rows witnessed, this one by construction, unwitnessed); the ORACLE (SibylFS) typically succeeds: a one-sided declared boundary, not a both-crash	CerbFS.lean:23-90 header table; VALIDATION.md declared boundary	hand-written: body following a `let` line / match arm (read)
lean_frontend/CerbFS.lean	397	CerbFS.fs_rename	panic!	TAIL	(refusal s!"rename '{oldP}' → '{newP}' while an fd is open on one of them"	Y	Y	N	REACHABLE	family: class (c) filesystem refusals — each is the unconditional body of its fs_* entry point or a guard on the syscall arguments; reachable by any libc-mode program issuing that syscall shape (4 rows witnessed, this one by construction, unwitnessed); the ORACLE (SibylFS) typically succeeds: a one-sided declared boundary, not a both-crash	CerbFS.lean:23-90 header table; VALIDATION.md declared boundary	
lean_frontend/CerbFS.lean	413	CerbFS.fs_chmod	panic!	TAIL	(refusal s!"chmod '{path}' (mode {mode})" "SibylFS changes the mode (ENOENT/EPERM per POSI	Y	Y	N	REACHABLE	family: class (c) filesystem refusals — each is the unconditional body of its fs_* entry point or a guard on the syscall arguments; reachable by any libc-mode program issuing that syscall shape (4 rows witnessed, this one by construction, unwitnessed); the ORACLE (SibylFS) typically succeeds: a one-sided declared boundary, not a both-crash	CerbFS.lean:23-90 header table; VALIDATION.md declared boundary	
lean_frontend/CerbFS.lean	416	CerbFS.fs_chdir	panic!	TAIL	(refusal s!"chdir '{dir}'" "SibylFS resolves later relative paths against the new director	Y	Y	N	REACHABLE	family: class (c) filesystem refusals — each is the unconditional body of its fs_* entry point or a guard on the syscall arguments; reachable by any libc-mode program issuing that syscall shape (4 rows witnessed, this one by construction, unwitnessed); the ORACLE (SibylFS) typically succeeds: a one-sided declared boundary, not a both-crash	CerbFS.lean:23-90 header table; VALIDATION.md declared boundary	
lean_frontend/CerbFS.lean	419	CerbFS.fs_chown	panic!	TAIL	(refusal s!"chown '{path}' ({uid}:{gid})" "SibylFS changes the owner (ENOENT/EPERM per POS	Y	Y	N	REACHABLE	family: class (c) filesystem refusals — each is the unconditional body of its fs_* entry point or a guard on the syscall arguments; reachable by any libc-mode program issuing that syscall shape (4 rows witnessed, this one by construction, unwitnessed); the ORACLE (SibylFS) typically succeeds: a one-sided declared boundary, not a both-crash	CerbFS.lean:23-90 header table; VALIDATION.md declared boundary	
lean_frontend/CerbFS.lean	422	CerbFS.fs_link	panic!	TAIL	(refusal s!"link '{oldP}' → '{newP}'" "SibylFS creates a hard link (EEXIST/ENOENT per POSI	Y	Y	N	REACHABLE	family: class (c) filesystem refusals — each is the unconditional body of its fs_* entry point or a guard on the syscall arguments; reachable by any libc-mode program issuing that syscall shape (4 rows witnessed, this one by construction, unwitnessed); the ORACLE (SibylFS) typically succeeds: a one-sided declared boundary, not a both-crash	CerbFS.lean:23-90 header table; VALIDATION.md declared boundary	
lean_frontend/CerbFS.lean	425	CerbFS.fs_readlink	panic!	TAIL	(refusal s!"readlink '{path}'" "SibylFS reads the link target (EINVAL/ENOENT per POSIX); t	Y	Y	N	REACHABLE	family: class (c) filesystem refusals — each is the unconditional body of its fs_* entry point or a guard on the syscall arguments; reachable by any libc-mode program issuing that syscall shape (4 rows witnessed, this one by construction, unwitnessed); the ORACLE (SibylFS) typically succeeds: a one-sided declared boundary, not a both-crash	CerbFS.lean:23-90 header table; VALIDATION.md declared boundary	
lean_frontend/CerbFS.lean	428	CerbFS.fs_symlink	panic!	TAIL	(refusal s!"symlink '{target}' ← '{lpath}'" "SibylFS creates a symbolic link (EEXIST/ENOEN	Y	Y	N	REACHABLE	family: class (c) filesystem refusals — each is the unconditional body of its fs_* entry point or a guard on the syscall arguments; reachable by any libc-mode program issuing that syscall shape (4 rows witnessed, this one by construction, unwitnessed); the ORACLE (SibylFS) typically succeeds: a one-sided declared boundary, not a both-crash	CerbFS.lean:23-90 header table; VALIDATION.md declared boundary	
lean_frontend/CerbFS.lean	431	CerbFS.fs_rmdir	panic!	TAIL	(refusal s!"rmdir '{path}'" "SibylFS removes a directory (ENOENT/ENOTEMPTY/ENOTDIR per POS	Y	Y	N	REACHABLE	family: class (c) filesystem refusals — each is the unconditional body of its fs_* entry point or a guard on the syscall arguments; reachable by any libc-mode program issuing that syscall shape (4 rows witnessed, this one by construction, unwitnessed); the ORACLE (SibylFS) typically succeeds: a one-sided declared boundary, not a both-crash	CerbFS.lean:23-90 header table; VALIDATION.md declared boundary	
lean_frontend/CerbFS.lean	445	CerbFS.fs_truncate	panic!	TAIL	(refusal s!"truncate '{path}' to {len} while an fd is open on it"	Y	Y	N	REACHABLE	family: class (c) filesystem refusals — each is the unconditional body of its fs_* entry point or a guard on the syscall arguments; reachable by any libc-mode program issuing that syscall shape (4 rows witnessed, this one by construction, unwitnessed); the ORACLE (SibylFS) typically succeeds: a one-sided declared boundary, not a both-crash	CerbFS.lean:23-90 header table; VALIDATION.md declared boundary	
lean_frontend/CerbFS.lean	448	CerbFS.fs_truncate	panic!	TAIL	(refusal s!"truncate '{path}' ({contents.length} bytes) to the LARGER length {len}"	Y	Y	N	REACHABLE	family: class (c) filesystem refusals — each is the unconditional body of its fs_* entry point or a guard on the syscall arguments; reachable by any libc-mode program issuing that syscall shape (4 rows witnessed, this one by construction, unwitnessed); the ORACLE (SibylFS) typically succeeds: a one-sided declared boundary, not a both-crash	CerbFS.lean:23-90 header table; VALIDATION.md declared boundary	
lean_frontend/CerbFS.lean	456	CerbFS.fs_unlink	panic!	TAIL	(refusal s!"unlink '{path}' while an fd is open on it"	Y	Y	N	REACHABLE	family: class (c) filesystem refusals — each is the unconditional body of its fs_* entry point or a guard on the syscall arguments; reachable by any libc-mode program issuing that syscall shape (4 rows witnessed, this one by construction, unwitnessed); the ORACLE (SibylFS) typically succeeds: a one-sided declared boundary, not a both-crash	CerbFS.lean:23-90 header table; VALIDATION.md declared boundary	
lean_frontend/CerbFS.lean	469	CerbFS.fs_lseek	panic!	TAIL	(refusal s!"lseek on fd {fd}" "fds 0,1,2 are SibylFS's std fds; this model has no entry fo	Y	Y	N	REACHABLE	family: class (c) filesystem refusals — each is the unconditional body of its fs_* entry point or a guard on the syscall arguments; reachable by any libc-mode program issuing that syscall shape (4 rows witnessed, this one by construction, unwitnessed); the ORACLE (SibylFS) typically succeeds: a one-sided declared boundary, not a both-crash	CerbFS.lean:23-90 header table; VALIDATION.md declared boundary	
lean_frontend/CerbFS.lean	486	CerbFS.fs_lseek	panic!	TAIL	(refusal s!"lseek on fd {fd} whose file '{entry.path}' is gone" "the model's file table lo	Y	Y	N	REACHABLE	family: class (c) filesystem refusals — each is the unconditional body of its fs_* entry point or a guard on the syscall arguments; reachable by any libc-mode program issuing that syscall shape (4 rows witnessed, this one by construction, unwitnessed); the ORACLE (SibylFS) typically succeeds: a one-sided declared boundary, not a both-crash	CerbFS.lean:23-90 header table; VALIDATION.md declared boundary	
lean_frontend/CerbFS.lean	495	CerbFS.fs_lseek	panic!	TAIL	(refusal s!"lseek on fd {fd} to offset {newOffset} past the end of the {size}-byte file '{	Y	Y	N	REACHABLE	family: class (c) filesystem refusals — each is the unconditional body of its fs_* entry point or a guard on the syscall arguments; reachable by any libc-mode program issuing that syscall shape (4 rows witnessed, this one by construction, unwitnessed); the ORACLE (SibylFS) typically succeeds: a one-sided declared boundary, not a both-crash	CerbFS.lean:23-90 header table; VALIDATION.md declared boundary	hand-written: body following a `let` line / match arm (read)
lean_frontend/CerbFS.lean	504	CerbFS.fs_stat	panic!	TAIL	(refusal s!"stat '{path}'" "SibylFS answers the real st_dev/st_ino/st_mode/st_nlink/uid/gi	Y	Y	N	REACHABLE	witness tests/suite/fs/stat.c: Lean PANIC at CerbFS.fs_stat CerbFS:504:2, oracle exit 0 — class (c) refusal	q2_recorded_crash_rows.txt suite-fs-stat	
lean_frontend/CerbFS.lean	507	CerbFS.fs_lstat	panic!	TAIL	(refusal s!"lstat '{path}'" "SibylFS answers the real stat fields (no symlink following); 	Y	Y	N	REACHABLE	family: class (c) filesystem refusals — each is the unconditional body of its fs_* entry point or a guard on the syscall arguments; reachable by any libc-mode program issuing that syscall shape (4 rows witnessed, this one by construction, unwitnessed); the ORACLE (SibylFS) typically succeeds: a one-sided declared boundary, not a both-crash	CerbFS.lean:23-90 header table; VALIDATION.md declared boundary	
lean_frontend/CerbFS.lean	510	CerbFS.fs_opendir	panic!	TAIL	(refusal s!"opendir '{path}'" "SibylFS opens a directory stream (ENOENT/ENOTDIR per POSIX)	Y	Y	N	REACHABLE	witness tests/immaculate/libc/zd-z2f04-closedir.c: Lean PANIC at CerbFS.fs_opendir CerbFS:510:2; oracle crashes elsewhere (can_advance) — pinned MATCH | L=CRASH	q2_recorded_crash_rows.txt zd-z2f04-closedir	
lean_frontend/CerbFS.lean	513	CerbFS.fs_readdir	panic!	TAIL	(refusal s!"readdir on {dir}" "SibylFS answers the next entry name; this model answered an	Y	Y	N	REACHABLE	family: class (c) filesystem refusals — each is the unconditional body of its fs_* entry point or a guard on the syscall arguments; reachable by any libc-mode program issuing that syscall shape (4 rows witnessed, this one by construction, unwitnessed); the ORACLE (SibylFS) typically succeeds: a one-sided declared boundary, not a both-crash	CerbFS.lean:23-90 header table; VALIDATION.md declared boundary	
lean_frontend/CerbFS.lean	516	CerbFS.fs_rewinddir	panic!	TAIL	(refusal s!"rewinddir on {dir}" "SibylFS rewinds a directory stream; this model has no dir	Y	Y	N	REACHABLE	family: class (c) filesystem refusals — each is the unconditional body of its fs_* entry point or a guard on the syscall arguments; reachable by any libc-mode program issuing that syscall shape (4 rows witnessed, this one by construction, unwitnessed); the ORACLE (SibylFS) typically succeeds: a one-sided declared boundary, not a both-crash	CerbFS.lean:23-90 header table; VALIDATION.md declared boundary	
lean_frontend/CerbFS.lean	519	CerbFS.fs_closedir	panic!	TAIL	(refusal s!"closedir on {dir}" "SibylFS closes a directory stream; this model has no direc	Y	Y	N	REACHABLE	family: class (c) filesystem refusals — each is the unconditional body of its fs_* entry point or a guard on the syscall arguments; reachable by any libc-mode program issuing that syscall shape (4 rows witnessed, this one by construction, unwitnessed); the ORACLE (SibylFS) typically succeeds: a one-sided declared boundary, not a both-crash	CerbFS.lean:23-90 header table; VALIDATION.md declared boundary	
lean_frontend/CerbFloat.lean	307	CerbFloat.truncToInt	panic!	TAIL	"CerbFloat.truncToInt: nan/inf (OCaml Z.of_float raises Z.Overflow)"	Y	Y	Y	REACHABLE	witness tests/immaculate/nolibc/zd-z2fl03-nan-to-int.c: both crash (oracle Z.Overflow, Lean PANIC CerbFloat:307); input class UB ((int)NaN, ISO 6.3.1.4p1)	q2 file; IMMACULATE_PANICS	hand-written: body following a `let` line / match arm (read)
lean_frontend/CerbFunMapInstances.lean	84	instSetTypeGeneric_fun_map_decl_cerbFunMapInstances	failwithI	TAIL	"SetType generic_fun_map_decl: same-constructor compare \	N	N	N	UNREACHABLE-BY-INVARIANT	structural/phantom: the instance is required by initial_driver_state's generic fun-map set type; no set operation compares two same-constructor generic_fun_map_decl values; NOT in closure(drive) (FAILURE_CONS column)	CerbFunMapInstances.lean header; sites231.tsv closure(drive)=N	hand-written: body following a `let` line / match arm (read)
lean_frontend/CerbLocation.lean	133	_private.CerbLocation.0.CerbLocation.outerBbox	panic!	TAIL	"Cerb_location.outer_bbox: [] (cerb_location.ml:109-110 assert false)"	Y	Y	Y	UNREACHABLE-BY-INVARIANT	constructor discipline (not a theorem): Loc.regions [] is refused at construction by CabsImport.jsonToLoc (Z2-L-02); outerBbox is called on non-empty region lists	typed-failure design §1.1 P-loc; CerbLocation.lean:151,:263 callers	
lean_frontend/CerbMem.lean	274	CerbMem.combineProv	panic!	TAIL	"Concrete.combine_prov: found a Prov_symbolic"	Y	Y	Y	UNREACHABLE-BY-INVARIANT	config: Prov_symbolic arises only in the symbolic execution mode; the default mode is `none` and is a plain def since 2026-09-05	CerbGlobal.lean (current_execution_mode default); docs/2026-09-05_cerbglobal-defs-record.md	
lean_frontend/CerbMem.lean	275	CerbMem.combineProv	panic!	TAIL	"Concrete.combine_prov: found a Prov_symbolic"	Y	Y	Y	UNREACHABLE-BY-INVARIANT	config: Prov_symbolic arises only in the symbolic execution mode; the default mode is `none` and is a plain def since 2026-09-05	CerbGlobal.lean (current_execution_mode default); docs/2026-09-05_cerbglobal-defs-record.md	
lean_frontend/CerbMem.lean	330	CerbMem.targetPtrSize	panic!	TAIL	"the concrete memory model requires a complete implementation"	Y	Y	Y	UNREACHABLE-BY-INVARIANT	structural: LP64 implementation is complete (sizeof_pointer is `some 8`); the `none` arm is dead	CerberusImpl.lean sizeof_pointer	
lean_frontend/CerbMem.lean	415	CerbMem.offsetsof_lemFuel	panic!	TAIL	"CerbMem.offsetsof: unknown tag (OCaml: Pmap.find Not_found)"	Y	Y	Y	UNREACHABLE-BY-INVARIANT	typing: offsetof/sizeof require a complete struct type (constraint violation otherwise), and every complete tag is in tagDefs; historical LEAN_CRASH row pr44468.c is MATCH today	ail/genTyping.lem:1512-1516; final-reporting-summary.json movement pr44468.c	
lean_frontend/CerbMem.lean	443	CerbMem.sizeofCtype_lemFuel	panic!	TAIL	"CerbMem.sizeofCtype: Void (impl_mem.ml:134-135 assert false)"	Y	Y	Y	UNREACHABLE-BY-INVARIANT	typing: sizeof of an incomplete/function type is a constraint violation (§6.5.3.4#1) rejected by GenTyping	ail/genTyping.lem:1512-1516	
lean_frontend/CerbMem.lean	444	CerbMem.sizeofCtype_lemFuel	panic!	TAIL	"CerbMem.sizeofCtype: incomplete array (impl_mem.ml:134-135 assert false)"	Y	Y	Y	UNREACHABLE-BY-INVARIANT	typing: as Void (§6.5.3.4#1)	ail/genTyping.lem:1512-1516	
lean_frontend/CerbMem.lean	446	CerbMem.sizeofCtype_lemFuel	panic!	TAIL	"CerbMem.sizeofCtype: function type (impl_mem.ml:134-135 assert false)"	Y	Y	Y	UNREACHABLE-BY-INVARIANT	typing: as Void (§6.5.3.4#1)	ail/genTyping.lem:1512-1516	
lean_frontend/CerbMem.lean	450	CerbMem.sizeofCtype_lemFuel	panic!	TAIL	"the concrete memory model requires a complete implementation sizeof INTEGER"	Y	Y	Y	UNREACHABLE-BY-INVARIANT	structural (kernel-provable): CerberusImpl.sizeof_ity/sizeof_fty have no `none`-returning arm after normalise_integerType (every arm is `some _` or a panic), so the `none` arms downstream are dead	CerberusImpl.lean:170-183	
lean_frontend/CerbMem.lean	454	CerbMem.sizeofCtype_lemFuel	panic!	TAIL	"the concrete memory model requires a complete implementation sizeof FLOAT"	Y	Y	Y	UNREACHABLE-BY-INVARIANT	structural (kernel-provable): CerberusImpl.sizeof_ity/sizeof_fty have no `none`-returning arm after normalise_integerType (every arm is `some _` or a panic), so the `none` arms downstream are dead	CerberusImpl.lean:170-183	
lean_frontend/CerbMem.lean	478	CerbMem.sizeofCtype_lemFuel	panic!	TAIL	"CerbMem.sizeofCtype: Union tag not a UnionDef (OCaml: assert false / Not_found)"	Y	Y	Y	REACHABLE	witness tests/immaculate/nolibc/offsetof-union-member.c: both crash (oracle Failure("Tags definitions must be set…"), Lean PANIC CerbMem:478); input class WELL-TYPED UB-FREE C — a model bug (upstream asymmetry, tray candidate)	q2 file; baseline.txt offsetof-union-member MATCH | L=CRASH	
lean_frontend/CerbMem.lean	496	CerbMem.alignofCtype_lemFuel	panic!	TAIL	"CerbMem.alignofCtype: Void (impl_mem.ml:198-199 assert false)"	Y	Y	Y	UNREACHABLE-BY-INVARIANT	typing: _Alignof of an incomplete/function type is a constraint violation (§6.5.3.4#1)	ail/genTyping.lem:1512-1516 (same rule family)	
lean_frontend/CerbMem.lean	498	CerbMem.alignofCtype_lemFuel	panic!	TAIL	"CerbMem.alignofCtype: function type (impl_mem.ml:216-218 assert false)"	Y	Y	Y	UNREACHABLE-BY-INVARIANT	typing: as Void	ail/genTyping.lem:1512-1516	
lean_frontend/CerbMem.lean	502	CerbMem.alignofCtype_lemFuel	panic!	TAIL	"the concrete memory model requires a complete implementation alignof INTEGER"	Y	Y	Y	UNREACHABLE-BY-INVARIANT	structural (kernel-provable): CerberusImpl.sizeof_ity/sizeof_fty have no `none`-returning arm after normalise_integerType (every arm is `some _` or a panic), so the `none` arms downstream are dead	CerberusImpl.lean:170-183	
